货主编码,商品编码,商品名称,物料-订单模板-商品名称,问卷结果-商品名称,商家物料赠送记录,高端三合一,商家服务订单-商品名称,问卷结果-商品名称-英文,品牌描述,物品规格描述,质检标准,质检比例,是否赠品，Y-是，N-否,是否虚拟产品，Y-是，N-否,运输属性，1-非禁航、2-禁航(有报备)、3-禁航(无报备),是否易碎，Y-是，N-否,款号,颜色,尺码,SKU长(cm),SKU宽(cm),SKU高(cm),SKU重量(kg),"存储温度，1：0度至30度,2：0度至8度,3：10度至15度,4：8度至10度,5：零下18度以下,6：零下60度以下","运输温度，1：0度至30度,2：0度至8度,3：10度至15度,4：8度至10度,5：零下18度以下,6：零下60度以下-TEST",保质期前置天数,有效期天数,安全库存数,批次模板,是否入库扫描序列号，Y-是，N-否,是否出库扫描序列号，Y-是，N-否,是否库存序列号跟踪，Y-是，N-否,是否BOM主件，Y-是，N-否,是否挂吊牌，1-是，2-否,是否代贴条码/标签，1-是，2-否,商品一级分类,商品二级分类,商品三级分类,预留字段1(商品),预留字段2(商品),预留字段3(商品),预留字段4(商品),预留字段5(商品),预留字段6(商品),预留字段7(商品),预留字段8(商品),条码1,条码2,条码3,条码4,货品类,商品种类1,商品种类2,商品种类3,商品种类4,商品种类5,商品种类6,商品种类7,商品种类8,商品种类9,商品种类10,商品件型,单价(商品),单位,包装单位（箱）,数量单位转换比例(箱),长(箱)(cm),宽(箱)(cm),高(箱)(cm),尺寸单位(箱),重量(箱)(kg),重量单位(箱),描述（个、件、盒、箱）(箱),预留字段1(箱),预留字段2(箱),预留字段3(箱),预留字段4(箱),预留字段5(箱),预留字段6(箱),预留字段7(箱),预留字段8(箱),EAN商品条形码,upc商品条形码,gtin商品条形,申报计量单位,申报货物类型,商品特性,申报要素名称和值,英文申报要素名称和值,原产国（二字简码）,币种,电池类型
8526947236,Keeta001,塑料袋【大】,大膠袋,11.膠袋 | HK$29  | ??2扎起訂免運費  ??每扎50個   ??尺寸(295+65*2)*495mm[图片],大胶袋,,大膠袋,22.Plastic Bag | HK$29  |  ??Min. Order 2 Unit   ??50 pcs / Unit ??Free Shipping  ??Size : 295+65*2)*495mm[图片],雄安利亚,495*(295+65*2)mm,,,否,否,非禁航,否,,,,30.0,10.0,4.5,0.63,,,,,,,否,否,否,,,,90,9011,901113,,,,,,,,,Keeta001,,,,,,,,,,,,,,,,,,扎,,,,,,,,,,,,,,,,,,,,,,,,,,,
8526947236,Keeta002,塑料袋【小】,小膠袋,12.小膠袋 | HK$22  | ??2扎起訂免運費  ??每扎50個  ??尺寸 (220+65*2)*400mm[图片],細膠袋,,小膠袋,23.Small Plastic Bag | HK$22  |  ??Min. Order 2 Unit   ??50 pcs / Unit  ??Free Shipping  ??Size: 220+65*2)*400mm[图片],雄安利亚,400*(220+65*2)mm,,,否,否,非禁航,否,,,,24.0,8.0,4.5,0.4,,,,,,,否,否,否,,,,90,9011,901113,,,,,,,,,Keeta002,,,,,,,,,,,,,,,,,,扎,,,,,,,,,,,,,,,,,,,,,,,,,,,
8526947236,Keeta003,无纺布【规格一单杯】,單杯無紡布袋,6.無紡布袋（保溫） | HK$150 |  ??1箱免運費  ??每箱200個  ??尺寸120*105*300mm（單杯裝）[图片],,無紡布袋1號,規格一單杯裝,17.Non-woven bag(single serve cup -- insulation) | HK$150 |  ??1 box free shipping ?? 200 pieces / box  ??Size :  120*105*300mm[图片],重庆顶正,120*105*300mm,,,否,否,非禁航,否,,,,45.0,26.0,27.0,4.8,,,,,,,否,否,否,,,,90,9011,901113,,,,,,,,,Keeta003,,,,,,,,,,,,,,,,,,箱,,,,,,,,,,,,,,,,,,,,,,,,,,,
8526947236,Keeta004,无纺布【规格二双杯】,雙杯無紡布袋,7.無紡布袋（保溫）| HK$180 |  ??1箱免運費  ??每箱200個  ??尺寸 210*120*300mm（雙杯裝）[图片],,無紡布袋2號,規格二雙杯裝,18.Non-woven bag(double serve cup -- insulation)| HK$180 |  ??1 box free shipping ?? 200 pieces / box  ??Size :  210*120*300mm[图片],重庆顶正,210*120*300mm,,,否,否,非禁航,否,,,,,,,,,,,,,,否,否,否,,,,90,9011,901113,,,,,,,,,Keeta004,,,,,,,,,,,,,,,,,,箱,,,,,,,,,,,,,,,,,,,,,,,,,,,
8526947236,Keeta005,无纺布【规格三中号】,3號無紡布袋,8.無紡布袋（保溫） | HK$230 |  ??1箱免運費  ??每箱200個  ??尺寸 255*160*280mm（中號）[图片],,無紡布袋3號,規格三中號袋,19.Non-woven bag( medium size--insulation)  | HK$230 |  ??1 box free shipping ?? 200 pieces / box  ??Size :  255*160*280mm[图片],重庆顶正,255*160*280mm,,,否,否,非禁航,否,,,,46.0,27.0,45.0,8.8,,,,,,,否,否,否,,,,90,9011,901113,,,,,,,,,Keeta005,,,,,,,,,,,,,,,,,,箱,,,,,,,,,,,,,,,,,,,,,,,,,,,
8526947236,Keeta006,无纺布【规格四大号】,4號無紡布袋,9.無紡布袋（保溫）| HK$280 |  ??1箱免運費  ??每箱200個  ??尺寸 290*175*310mm[图片],,無紡布袋4號,規格四大號袋,20.Non-woven bag( Standard size--insulation)| HK$280 |  ??1 box free shipping ?? 200 pieces / box  ??Size : 290*175*310mm[图片],重庆顶正,290*175*310mm,,,否,否,非禁航,否,,,,51.0,30.0,43.0,10.8,,,,,,,否,否,否,,,,90,9011,901113,,,,,,,,,Keeta006,,,,,,,,,,,,,,,,,,箱,,,,,,,,,,,,,,,,,,,,,,,,,,,
8526947236,Keeta007,无纺布【Preminum黑】,,,,高端保溫袋,,,重庆顶正,290*175*310mm,,,否,否,非禁航,否,,,,51.0,30.0,43.0,10.8,,,,,,,否,否,否,,,,90,9011,901113,,,,,,,,,Keeta007,,,,,,,,,,,,,,,,,,箱,,,,,,,,,,,,,,,,,,,,,,,,,,,
8526947236,Keeta008,纸袋【通版】,紙袋,5.紙袋 | HK$200 |  ??1箱免運費  ??每箱200個  ??尺寸310*290*175mm[图片],,普通紙袋,通版紙袋,16.Paper Bag | HK$200 |  ??1 box free shipping ?? 200 pieces / box  ??Size : 310*290*175mm[图片],天津海顺,310*290*175mm,,,否,否,非禁航,否,,,,42.0,33.0,41.0,11.86,,,,,,,否,否,否,,,,90,9011,901113,,,,,,,,,Keeta008,,,,,,,,,,,,,,,,,,箱,,,,,,,,,,,,,,,,,,,,,,,,,,,
8526947236,Keeta009,纸袋【单杯俄卡】,,,,,,,天津海顺,120*105*300mm,,,否,否,非禁航,否,,,,52.0,41.0,21.5,10.0,,,,,,,否,否,否,,,,90,9011,901113,,,,,,,,,Keeta009,,,,,,,,,,,,,,,,,,箱,,,,,,,,,,,,,,,,,,,,,,,,,,,
8526947236,Keeta010,纸袋【双杯俄卡】,,,,,雙杯裝加強承重紙袋,,天津海顺,210*120*300mm,,,否,否,非禁航,否,,,,43.5,41.0,35.0,15.65,,,,,,,否,否,否,,,,90,9011,901113,,,,,,,,,Keeta010,,,,,,,,,,,,,,,,,,箱,,,,,,,,,,,,,,,,,,,,,,,,,,,
8526947236,Keeta011,纸袋【Preminum黑】,,,,高端纸袋,,,天津海顺,310*290*175mm,,,否,否,非禁航,否,,,,42.5,30.0,41.0,11.86,,,,,,,否,否,否,,,,90,9011,901113,,,,,,,,,Keeta011,,,,,,,,,,,,,,,,,,箱,,,,,,,,,,,,,,,,,,,,,,,,,,,
8526947236,Keeta012,纸袋【定制-丽新】,,,,,,,天津海顺,310*290*175mm,,,否,否,非禁航,否,,,,42.5,30.0,41.0,11.86,,,,,,,否,否,否,,,,90,9011,901113,,,,,,,,,Keeta012,,,,,,,,,,,,,,,,,,箱,,,,,,,,,,,,,,,,,,,,,,,,,,,
8526947236,Keeta013,机纸/小票纸,打印紙,14.打印紙 | HK$0  |  ?? 3包起訂免運費   ??每包10卷[图片],,,熱敏紙,25.Print Roll | HK$0  |  ??Min. Order 3 Unit  ??10 Roll / Unit  ??Free Shipping[图片],天津海顺,17m長，寬55mm，外徑40mm,,,否,否,非禁航,否,,,,25.0,25.0,20.5,4.2,,,,,,,否,否,否,,,,90,9011,901113,,,,,,,,,Keeta013,,,,,,,,,,,,,,,,,,包,,,,,,,,,,,,,,,,,,,,,,,,,,,
8526947236,Keeta014,纸箱【大号】,,,,,,,浙江谦林,40*23*19cm,,,否,否,非禁航,否,,,,,,,,,,,,,,否,否,否,,,,90,9011,901113,,,,,,,,,Keeta014,,,,,,,,,,,,,,,,,,个,,,,,,,,,,,,,,,,,,,,,,,,,,,
8526947236,Keeta015,纸箱【中号】,,,,,,,浙江谦林,30*23*19cm,,,否,否,非禁航,否,,,,,,,,,,,,,,否,否,否,,,,90,9011,901113,,,,,,,,,Keeta015,,,,,,,,,,,,,,,,,,个,,,,,,,,,,,,,,,,,,,,,,,,,,,
8526947236,Keeta016,纸箱【小号】,,,,,,,浙江谦林,25*23*19cm,,,否,否,非禁航,否,,,,,,,,,,,,,,否,否,否,,,,90,9011,901113,,,,,,,,,Keeta016,,,,,,,,,,,,,,,,,,个,,,,,,,,,,,,,,,,,,,,,,,,,,,
8526947236,Keeta017,杯托【2托】,紙漿杯2托,10.紙漿杯托 | HK$200 |  ??2箱起訂免運費  ??每箱600個（雙杯可撕拉）  ??尺寸 210*105*45mm[图片],,兩格杯托,紙漿杯托-2杯裝,21.Cup Holder | HK$200 |  ??2 box free shipping ?? 600 pieces / box  ??Size : 210*105*45mm[图片],奉其奉,218*111*44.5,,,否,否,非禁航,否,,,,,,,,,,,,,,否,否,否,,,,90,9011,901113,,,,,,,,,Keeta017,,,,,,,,,,,,,,,,,,箱,,,,,,,,,,,,,,,,,,,,,,,,,,,
8526947236,Keeta018,杯托【4托】,紙漿杯托-4托,,,四格杯托,,,奉其奉,200*200*53mm,,,否,否,非禁航,否,,,,,,,,,,,,,,否,否,否,,,,90,9011,901113,,,,,,,,,Keeta018,,,,,,,,,,,,,,,,,,箱,,,,,,,,,,,,,,,,,,,,,,,,,,,
8526947236,Keeta019,硅油纸,飲品封口紙,,,,食品級飲品封口紙,,奉其奉,,,,否,否,非禁航,否,,,,,,,,,,,,,,否,否,否,,,,90,9011,901113,,,,,,,,,Keeta019,,,,,,,,,,,,,,,,,,包,,,,,,,,,,,,,,,,,,,,,,,,,,,
8526947236,Keeta020,封签【通版】,封簽,13.食品安全封簽 | HK$0 |  ??3包起訂免運費  ??每包50張，每張10個[图片],,封簽,食物安全封簽,24.Food Safety Seal Stickers | HK$0 |  ??Min. Order 3 Unit  ??50 pcs / unit ~ 50 unit / set[图片],当纳利,95*35mm,,,否,否,非禁航,否,,,,,,,,,,,,,,否,否,否,,,,90,9011,901113,,,,,,,,,Keeta020,,,,,,,,,,,,,,,,,,PCS,,,,,,,,,,,,,,,,,,,,,,,,,,,
8526947236,Keeta021,封签【Preminum黑】,,,,高端封簽,,,当纳利,,,,否,否,非禁航,否,,,,,,,,,,,,,,否,否,否,,,,90,9011,901113,,,,,,,,,Keeta021,,,,,,,,,,,,,,,,,,PCS,,,,,,,,,,,,,,,,,,,,,,,,,,,
8526947236,Keeta022,海报【中文版】,,,,,,,当纳利,25x35cm,,,否,否,非禁航,否,,,,,,,,,,,,,,否,否,否,,,,90,9011,901113,,,,,,,,,Keeta022,,,,,,,,,,,,,,,,,,张,,,,,,,,,,,,,,,,,,,,,,,,,,,
8526947236,Keeta023,海报【英文版】,,,,,,,当纳利,25x35cm,,,否,否,非禁航,否,,,,,,,,,,,,,,否,否,否,,,,90,9011,901113,,,,,,,,,Keeta023,,,,,,,,,,,,,,,,,,张,,,,,,,,,,,,,,,,,,,,,,,,,,,
8526947236,Keeta024,门贴【丝质通版】,,,,,,,当纳利,,,,否,否,非禁航,否,,,,,,,,,,,,,,否,否,否,,,,90,9011,901113,,,,,,,,,Keeta024,,,,,,,,,,,,,,,,,,PCS,,,,,,,,,,,,,,,,,,,,,,,,,,,
8526947236,Keeta025,门贴【推/拉/按】,,,,,,,当纳利,,,,否,否,非禁航,否,,,,,,,,,,,,,,否,否,否,,,,90,9011,901113,,,,,,,,,Keeta025,,,,,,,,,,,,,,,,,,PCS,,,,,,,,,,,,,,,,,,,,,,,,,,,
8526947236,Keeta026,门贴【按】,,,,,,,当纳利,,,,否,否,非禁航,否,,,,,,,,,,,,,,否,否,否,,,,90,9011,901113,,,,,,,,,Keeta026,,,,,,,,,,,,,,,,,,PCS,,,,,,,,,,,,,,,,,,,,,,,,,,,
8526947236,Keeta027,营业牌【亚克力】,,,,,,,当纳利,,,,否,否,非禁航,否,,,,,,,,,,,,,,否,否,否,,,,90,9011,901113,,,,,,,,,Keeta027,,,,,,,,,,,,,,,,,,个,,,,,,,,,,,,,,,,,,,,,,,,,,,
8526947236,Keeta028,功能贴【取餐区】,,,,,,,当纳利,,,,否,否,非禁航,否,,,,,,,,,,,,,,否,否,否,,,,90,9011,901113,,,,,,,,,Keeta028,,,,,,,,,,,,,,,,,,个,,,,,,,,,,,,,,,,,,,,,,,,,,,
8526947236,Keeta029,优惠贴【中文版】,,,,,,,当纳利,,,,否,否,非禁航,否,,,,,,,,,,,,,,否,否,否,,,,90,9011,901113,,,,,,,,,Keeta029,,,,,,,,,,,,,,,,,,个,,,,,,,,,,,,,,,,,,,,,,,,,,,
8526947236,,,,,,,,,当纳利,,,,否,否,非禁航,否,,,,,,,,,,,,,,否,否,否,,,,90,9011,901113,,,,,,,,,Keeta030,,,,,,,,,,,,,,,,,,个,,,,,,,,,,,,,,,,,,,,,,,,,,,
8526947236,Keeta031,全新POS机【商米】,,,,,,,商米,,,,否,否,非禁航,是,,,,,,,,,,,,,,是,是,是,,,,90,9011,901113,,,,,,,,,Keeta031,,,,,,,,,,,,,,,,,,件,,,,,,,,,,,,,,,,,,,,,,,,,,,
8526947236,Keeta032,全新POS机【真唯】,,,,,,,真唯,,,,否,否,非禁航,是,,,,,,,,,,,,,,是,是,是,,,,90,9011,901113,,,,,,,,,Keeta032,,,,,,,,,,,,,,,,,,件,,,,,,,,,,,,,,,,,,,,,,,,,,,
8526947236,Keeta033,翻新POS机【商米】,pos機,,,,,,商米,,,,否,否,非禁航,是,,,,,,,,,,,,,,是,是,是,,,,90,9011,901113,,,,,,,,,Keeta033,,,,,,,,,,,,,,,,,,件,,,,,,,,,,,,,,,,,,,,,,,,,,,
8526947236,Keeta034,翻新POS机【真唯】,,,,,,,真唯,,,,否,否,非禁航,是,,,,,,,,,,,,,,是,是,是,,,,90,9011,901113,,,,,,,,,Keeta034,,,,,,,,,,,,,,,,,,件,,,,,,,,,,,,,,,,,,,,,,,,,,,
8526947236,Keeta035,充电头【真唯】,充電頭,,,,,,真唯,,,,否,否,非禁航,否,,,,,,,,,,,,,,否,否,否,,,,90,9011,901113,,,,,,,,,Keeta035,,,,,,,,,,,,,,,,,,件,,,,,,,,,,,,,,,,,,,,,,,,,,,
8526947236,Keeta036,充电线【真唯】,充電線,,,,,,真唯,,,,否,否,非禁航,否,,,,,,,,,,,,,,否,否,否,,,,90,9011,901113,,,,,,,,,Keeta036,,,,,,,,,,,,,,,,,,件,,,,,,,,,,,,,,,,,,,,,,,,,,,
